name,internet,reg_internet
"Golden Tobacco Ltd",http://www.goldentobacco.in,www.linkintime.co.in
"Him Teknoforge Ltd",http://www.himteknoforge.com,"www.mcsdel.com                                                                                                                                                                                                                                            "
"R G F Capital Markets Ltd",http://www.rgfcapitalmarkets.in,"www.mdpl.in                                                                                                                                                                                                                                               "
"Gujarat Narmada Valley Fertilizers & Chemicals Ltd",http://www.gnfc.in,NULL
"Setco Automotive Ltd",http://www.setcoauto.com,www.linkintime.co.in
"Nexus Surgical and Medicare Ltd",http://www.nexusmed.co.in,www.purvashare.com
"Gujarat Themis Biosyn Ltd",http://www.gtbl.in,www.linkintime.co.in
"Gujarat Alkalies & Chemicals Ltd",http://www.gacl.com,www.linkintime.co.in
"Ambuja Cements Ltd",http://www.ambujacement.com,www.linkintime.co.in
"Gujarat Carbon & Industries Ltd",http://www.gujaratcarbon.com,www.linkintime.co.in
"Gujarat Petrosynthese Ltd",http://www.gpl.in,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Gujarat State Fertilizers & Chemicals Ltd",http://www.gsfclimited.com,www.linkintime.co.in
"Grasim Industries Ltd",http://www.grasim.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Housing Development Finance CorporationLtd(Merged)",http://www.hdfc.com,"                                                                                                                                                                                                                                                          "
"GlaxoSmithkline Consumer Healthcare Ltd(Merged)",http://www.gsk-ch.in,"www.kfintech.com                                                                                                                                                                                                                                          "
"Harrisons Malayalam Ltd",http://www.harrisonsmalayalam.com,www.linkintime.co.in
"Hero MotoCorp Ltd",http://www.heromotocorp.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"ABB India Ltd",http://www.new.abb.com/indian-subcontinent,"www.kfintech.com                                                                                                                                                                                                                                          "
"Novartis India Ltd",http://www.novartis.in,www.linkintime.co.in
"Hindustan Construction Company Ltd",http://www.hccindia.com,www.tsrdarashaw.com
"Hindustan Motors Ltd",http://www.hindmotor.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Bajaj Hindusthan Sugar Ltd",http://www.bajajhindusthan.com,www.linkintime.co.in
"AGI Greenpac Ltd",http://www.hsilgroup.com,"www.mdpl.in                                                                                                                                                                                                                                               "
"HEG Ltd",http://www.hegltd.com,"www.mcsregistrars.com                                                                                                                                                                                                                                     "
"Hindalco Industries Ltd",http://www.hindalco.com,www.hindalco.com
"Hindustan Composites Ltd",http://www.hindcompo.com,www.linkintime.co.in
"Kalpa Commercial Ltd",http://www.kalpacommercial.in,"www.skylinerta.com                                                                                                                                                                                                                                        "
"Hindustan Unilever Ltd",http://www.hul.co.in,"www.kfintech.com                                                                                                                                                                                                                                          "
"Sanofi India Ltd",http://www.sanofiindialtd.com,www.linkintime.co.in
"HLV Ltd",http://www.hlvltd.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Hil Ltd",http://www.hil.in,"www.vccilindia.com                                                                                                                                                                                                                                        "
"Sofcom Systems Ltd",http://www.softcomsystems.com,"www.sharexindia.com                                                                                                                                                                                                                                       "
"Zensar Technologies Ltd",http://www.zensar.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Futura Polyesters Ltd",http://www.futurapolyesters.com,"www.satellitecorporate.com                                                                                                                                                                                                                                "
"GOCL Corporation Ltd",http://www.goclcorp.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Akzo Nobel India Ltd",http://www.akzonobel.co.in,www.cbmsl.com
"Indag Rubber Ltd",http://www.indagrubber.com,"www.skylinerta.com                                                                                                                                                                                                                                        "
"Balkrishna Paper Mills Ltd",http://www.bpml.in,www.purvashare.com
"India Cements Ltd",http://www.indiacements.co.in,"www.integratedindia.in                                                                                                                                                                                                                                    "
"Ganges Securities Ltd",http://www.birla-sugar.com,www.linkintime.co.in
"Magadh Sugar & Energy Ltd",http://www.magadhsugar.com,www.linkintime.co.in
"Avadh Sugar & Energy Ltd",http://www.avadhsugar.com,www.linkintime.co.in
"Indian Card Clothing Company Ltd",http://www.cardindia.com,"www.kfintech.com                                                                                                                                                                                                                                          "
